TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,RANK
Milwaukee Bucks,38,32,6,0.842,48.1,119.2,43.8,91,48.1,14,39.1,35.9,17.7,24.3,72.7,10,41.5,51.5,26,14.7,7.7,6.5,4.6,19.3,21.4,11.9,1
Los Angeles Lakers,37,30,7,0.811,48.1,112.8,42.4,87.9,48.2,10.9,30.5,35.6,17.2,23.2,74,10.2,35.2,45.4,26.1,15.2,8.7,7.5,4.1,20.4,21.3,7.9,2
LA Clippers,38,26,12,0.684,48.1,115.8,41.6,90.1,46.2,11.8,32.4,36.3,20.8,26.3,79,11.4,36.5,47.9,23.3,15.8,7.7,5,5,22.3,23.5,6,3
Miami Heat,36,26,10,0.722,48.8,111.1,39.3,84.1,46.7,12.6,33.3,37.8,19.9,26,76.7,9.2,36.6,45.8,25.1,16.4,7.7,4.1,4.2,20.5,22.1,3.8,4
Boston Celtics,34,25,9,0.735,48.1,110.9,40.7,89.3,45.6,11.9,33.9,35,17.6,22,79.8,10.9,35.3,46.2,23.1,13.9,8.1,6.2,5.5,21.2,20.9,7.3,5
Denver Nuggets,36,25,11,0.694,48.4,109.2,41.4,89.6,46.2,10.4,29.9,34.9,15.9,20.7,77.2,11.1,33.6,44.7,26.3,13.4,7.8,4.5,4.7,19.9,20.6,3.9,6
Houston Rockets,35,24,11,0.686,48.3,119.4,41.5,91,45.6,15.6,44.3,35.2,20.8,26.7,77.9,11.1,36,47.1,21.6,14.9,8.1,4.9,4.7,21.7,21.6,5.5,7
Philadelphia 76ers,38,24,14,0.632,48.3,109.8,41.2,87.6,47.1,10.8,29.9,36.2,16.5,22.1,74.7,10.1,35.9,46,26.7,15.2,8.3,5.7,4,21.7,20.9,3.8,8
Toronto Raptors,37,24,13,0.649,48.4,110.5,39.4,88.4,44.6,13.2,35.9,36.8,18.4,23,80,10.3,36.1,46.4,24.7,14.8,8.2,5.4,5.6,20.9,20.1,5.4,9
Utah Jazz,36,24,12,0.667,48,108.4,39,83.8,46.5,12.5,32,39.1,17.9,23.3,77,8.5,37.1,45.6,21.6,15.6,5.8,4.1,5,20.8,21.2,2.6,10
Dallas Mavericks,36,23,13,0.639,48.4,116.7,41.4,89.9,46,15.2,41.6,36.5,18.6,23.8,78.5,11.1,36.6,47.7,24.5,13.1,6.5,4.7,3.9,19.4,21.4,7.4,11
Indiana Pacers,37,23,14,0.622,48.4,109.5,41.9,89.5,46.8,10.2,27.7,36.9,15.3,19.2,80,9.4,34.1,43.5,25.8,12.9,6.9,5.1,4.8,20.2,18.9,3.3,12
Oklahoma City Thunder,37,21,16,0.568,48.5,108.8,39.6,85.2,46.4,10.1,29.7,34.1,19.5,24.7,79.1,8.8,34.7,43.5,21.3,14,7.5,4.9,4.2,19.3,23,1.5,13
Orlando Magic,37,17,20,0.459,48,103.2,38,87.9,43.2,10.3,30.8,33.4,17,22.1,76.8,10.1,34.7,44.8,22.8,12.8,8.5,6.3,4.3,17.9,19.2,-0.6,14
Brooklyn Nets,36,16,20,0.444,48.7,109.6,39.7,90.7,43.7,12.4,37.6,32.8,17.9,23.9,74.7,10.6,37.9,48.5,23.5,15.9,6.6,4.9,5.6,21.5,21.2,-2.1,15
Memphis Grizzlies,38,16,22,0.421,48.1,112.6,42.6,90.8,46.9,11.7,32.6,36,15.7,20,78.6,9.9,35.3,45.2,27.5,15.7,7.8,5.3,5.4,21.8,19.8,-3.7,16
Portland Trail Blazers,38,16,22,0.421,48.1,112,41.2,91,45.2,12.1,33.4,36.2,17.6,21.5,81.9,10.1,35.9,45.9,19.7,13.1,5.9,6.6,5.3,22,19.9,-1.6,17
Charlotte Hornets,39,15,24,0.385,48.4,104.4,37.7,86.4,43.7,12.3,34.7,35.5,16.6,22.2,74.9,11.1,31.7,42.8,23.8,14.9,6.6,4.3,4.8,19.5,21.2,-6.6,18
Sacramento Kings,38,15,23,0.395,48.5,106.2,39.3,87,45.1,12.2,33.9,35.9,15.5,19.8,78.1,10.1,32.3,42.4,22.5,15.6,7.6,4.5,4.3,21.6,19,-2.3,19
San Antonio Spurs,35,15,20,0.429,48.9,113.6,42.9,91,47.2,10.2,27.4,37.4,17.5,22.2,78.8,9.8,37,46.8,24.5,13.2,6.6,5.7,4.7,19.1,19.8,-1.2,20
Detroit Pistons,38,14,24,0.368,48,108.4,39.5,85.3,46.3,12,32.2,37.4,17.3,23.2,74.7,9.5,32.8,42.3,24.4,15.8,7.5,4.7,5.8,19.2,20.1,-2.7,21
Minnesota Timberwolves,36,14,22,0.389,49,111.8,39.8,92,43.2,12.7,39.4,32.2,19.6,25.7,76.1,11.2,35.3,46.5,22.3,15.5,8.7,6.2,5.5,21.6,22.3,-2.6,22
Phoenix Suns,37,14,23,0.378,48.4,113.9,41.4,89.7,46.2,11.8,33.9,34.6,19.3,23.9,80.6,9.5,33.8,43.3,28.2,14.5,7.7,3.6,5.6,22.8,23.4,-1.2,23
Chicago Bulls,37,13,24,0.351,48.3,105.8,38.5,89.4,43,12.4,35.2,35.3,16.4,21.3,76.7,10.7,33.1,43.8,23.2,15.3,10,4.5,6.5,21.9,19.9,-1.5,24
New Orleans Pelicans,37,12,25,0.324,48.4,112.8,41.4,92.4,44.8,14.2,38.7,36.7,15.7,21.3,74,10.9,34.7,45.5,24.9,15.3,7.5,4.9,4.4,21.9,19.9,-4.1,25
Washington Wizards,36,12,24,0.333,48.1,115.6,42.5,92.2,46.1,12.1,33.3,36.5,18.4,23.6,78.3,10.5,31.8,42.3,25.8,13.7,7.7,4.2,5.5,22.7,21.3,-4.5,26
Cleveland Cavaliers,37,10,27,0.27,48.1,104.6,39.1,87.2,44.9,10.9,31.8,34.4,15.4,20.2,76.3,10.4,33.8,44.3,21.4,16.4,7.1,3.3,6.6,17.9,19.6,-9,27
New York Knicks,37,10,27,0.27,48.1,104.2,38.6,88.9,43.4,10.5,30.4,34.6,16.6,24.2,68.4,12,34.4,46.4,20.9,14.4,7.7,4.8,4.9,23,19.9,-7.7,28
Golden State Warriors,38,9,29,0.237,48.4,105.1,38.1,88.4,43.1,9.5,28.5,33.4,19.3,23.9,81,10.5,33.3,43.8,24,14.7,8.5,4.7,5.4,19.6,20.4,-7.8,29
Atlanta Hawks,37,8,29,0.216,48.4,107.5,39.6,89.1,44.5,11.2,35.1,32.1,17.1,22.3,76.5,9.3,32.7,42,23.2,16.9,8.2,4.9,6.6,22.5,20.5,-9.8,30
